NAME,R,A,PER,ORBREF,ORBURL,FIRSTREF,FIRSTURL,DISCMETH,STAR,RSTAR,NCOMP,TEFF,JSNAME,EPEURL
HAT-P-13 b,14.358704519215001,0.0426945761,2.91625,Winn 2010,http://adsabs.harvard.edu/abs/2010ApJ...718..575W,Bakos 2009,http://adsabs.harvard.edu/abs/2009ApJ...707..446B,Transit,HAT-P-13,1.5599999428,2,5653,HAT-P-13,http://exoplanet.eu/star.php?st=HAT-P-13
4 UMa b,0,0.8769987226,269.29999,Dollinger 2007,http://adsabs.harvard.edu/abs/2007A%26A...472..649D,Dollinger 2007,http://adsabs.harvard.edu/abs/2007A%26A...472..649D,RV,4 UMa,34.6101264954,1,4415,4 UMa,http://exoplanet.eu/star.php?st=4+UMa
GJ 317 b,0,0.9538182616,692.90002,Johnson 2007,http://adsabs.harvard.edu/abs/2007ApJ...670..833J,Johnson 2007,http://adsabs.harvard.edu/abs/2007ApJ...670..833J,RV,GJ 317,,1,,GJ 317,http://exoplanet.eu/star.php?st=GJ+317
HD 74156 c,0,3.8997013569,2520,Meschiari 2011,http://adsabs.harvard.edu/abs/2011ApJ...727..117M,Naef 2004,http://adsabs.harvard.edu/abs/2004A%26A...414..351N,RV,HD 74156,1.3449969292,2,6067.9799804688,HD 74156,http://exoplanet.eu/star.php?st=HD+74156
HD 74156 b,0,0.2915350795,51.638,Meschiari 2011,http://adsabs.harvard.edu/abs/2011ApJ...727..117M,Naef 2004,http://adsabs.harvard.edu/abs/2004A%26A...414..351N,RV,HD 74156,1.3449969292,2,6067.9799804688,HD 74156,http://exoplanet.eu/star.php?st=HD+74156
WASP-36 b,14.224197146120757,0.0262601078,1.5373653,Smith 2012,http://adsabs.harvard.edu/abs/2012AJ....143...81S,Smith 2012,http://adsabs.harvard.edu/abs/2012AJ....143...81S,Transit,WASP-36,0.9430000186,1,5881,WASP-36,http://exoplanet.eu/star.php?st=WASP-36
HD 75289 b,0,0.0478580035,3.509267,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Udry 2000,http://adsabs.harvard.edu/abs/2000A%26A...356..590U,RV,HD 75289,1.2337158918,1,6095.0297851562,HD 75289,http://exoplanet.eu/star.php?st=HD+75289
55 Cnc d,0,5.4746742249,4909,Endl 2012,http://arxiv.org/abs/1208.5769,Marcy 2002,http://adsabs.harvard.edu/abs/2002ApJ...581.1375M,RV,55 Cnc,0.9476209879,5,5196,55 Cnc,http://exoplanet.eu/star.php?st=55+Cnc
55 Cnc c,0,0.2373045236,44.38,Endl 2012,http://arxiv.org/abs/1208.5769,Marcy 2002,http://adsabs.harvard.edu/abs/2004ApJ...614L..81M,RV,55 Cnc,0.9476209879,5,5196,55 Cnc,http://exoplanet.eu/star.php?st=55+Cnc
55 Cnc e,2.079994451049936,0.0154392654,0.736546,Endl 2012,http://arxiv.org/abs/1208.5709,McArthur 2004,http://adsabs.harvard.edu/abs/2004ApJ...614L..81M,RV,55 Cnc,0.9430000186,5,5196,55 Cnc,http://exoplanet.eu/star.php?st=55+Cnc
